BuffID	Level	IconID	Sparking	ShowTime	Show	Name	Desc
0	0	0	1	1	1	Buff=1，Debuff=2，Dot=3，Hot=4	BuffType取值
101	1	0	1	1	1	Buff=1，Debuff=2，Dot=3，Hot=4	BuffType取值
102	1	8	1	1	1	金钟护体	反弹三成外功伤害
103	1	533	0	0	1	调息	真气在经脉中运行，元气迅速得到恢复
104	1	22	1	1	1	浮身	自己变轻了，可以跳得更高
105	1	22	1	1	1	踏云	可以在空中跳跃两次
106	1	532	1	1	1	神行	移动速度提高100%
107	1	17	1	1	1	力量提升	力量提高10点
108	1	17	1	1	1	遁影	遁形于影，周围的人不能察觉到你
109	1	16	1	1	1	平静	疏于戒备
110	1	22	1	1	1	安抚心灵	使敌对生物对自己的警戒范围变小
112	0	414	1	1	1	清心静气	气血最大值提高<BUFF atMaxLifeAdditional>点
112	1	414	1	1	1	清心静气	气血最大值提高6.5%
112	2	414	1	1	1	清心静气	气血最大值提高7%
112	3	414	1	1	1	清心静气	气血最大值提高7.5%
112	4	414	1	1	1	清心静气	气血最大值提高8%
112	5	414	1	1	1	清心静气	气血最大值提高8.5%
112	6	414	1	1	1	清心静气	气血最大值提高9%
112	7	414	1	1	1	清心静气	气血最大值提高9.5%
112	8	414	1	1	1	清心静气	气血最大值提高10%
113	1	1525	1	1	1	碧水滔天	每秒恢复内力最大值的6%
115	1	338	1	1	1	等待时间	等待对方移动棋子
116	1	16	1	1	1	摆摊	摆摊叫卖
117	0	429	0	0	1	不动莲华阵第一重	体质提高<BUFF atVitalityBase>点
121	1	1490	1	1	1	升天	正在升天
122	1	413	1	1	1	春泥护花	受到的所有伤害降低28%，运功不会被伤害打断
122	2	413	1	1	1	春泥护花	受到的所有伤害降低30%，运功不会被伤害打断
122	3	413	1	1	1	春泥护花	受到的所有伤害降低32%，运功不会被伤害打断
122	4	413	1	1	1	春泥护花	受到的所有伤害降低34%，运功不会被伤害打断
122	5	413	1	1	1	春泥护花	受到的所有伤害降低36%，运功不会被伤害打断
122	6	413	1	1	1	春泥护花	受到的所有伤害降低38%，运功不会被伤害打断
122	7	413	1	1	1	春泥护花	受到的所有伤害降低40%，运功不会被伤害打断
124	1	407	1	1	1	花语酥心	每秒恢复气血最大值的2%
126	1	1521	1	1	1	毫针	外功防御等级提高<BUFF atPhysicsShieldBase>，被攻击则去掉一层并恢复240点气血值
126	2	1521	1	1	1	毫针	外功防御等级提高<BUFF atPhysicsShieldBase>，被攻击则去掉一层并恢复294点气血值
126	3	1521	1	1	1	毫针	外功防御等级提高<BUFF atPhysicsShieldBase>，被攻击则去掉一层并恢复351点气血值
126	4	1521	1	1	1	毫针	外功防御等级提高<BUFF atPhysicsShieldBase>，被攻击则去掉一层并恢复408点气血值
126	5	1521	1	1	1	毫针	外功防御等级提高<BUFF atPhysicsShieldBase>，被攻击则去掉一层并恢复464点气血值
