ID1	ID2	ID3	Name	Time	Place	Reward	Joinlevel	Content
0	0	0						
1	0	0	帮会家园	不限时间	帮会家园	金钱、帮贡、五行石等	等级不限	<text>text="君子有情堪为家，豪侠聚义战擂台！\\\n隐元会近期开辟出一大块空地，据传极其适合建造帮会领地，领地建成后，可在领地里进行种菜、钓鱼等各种休闲活动，真可谓娱乐休闲的不二选择。\\\n有此意向的帮主可到各主城帮会区帮会家园执事" font=162</text><text>text="玄字玖贰" font=67 link="NPCGuide/120"</text><text>text="处购买，购得帮会领地后，帮会成员即可通过" font=162</text><text>text="玄字玖贰" font=67 link="NPCGuide/120"</text><text>text="进入帮会领地。\\\n\\\n" font=162</text><text>text="查看帮会擂台" font=67 link="TongActivity/2/0/0"</text><text>text="         " font=67</text><text>text="\\\n" font=162</text><text>text="查看帮会俸钱" font=67 link="TongActivity/3/0/0"</text><text>text="\\\n" font=162</text><text>text="查看帮会钓鱼" font=67 link="TongActivity/4/0/0"</text><text>text="         " font=67</text><text>text="\\\n" font=162</text><text>text="查看帮会菜园" font=67 link="TongActivity/5/0/0"</text><text>text="\\\n" font=162</text><text>text="查看帮会食堂" font=67 link="TongActivity/6/0/0"</text><text>text="         " font=67</text><text>text="\\\n" font=162</text><text>text="查看帮会蹴鞠" font=67 link="TongActivity/7/0/0"</text>
2	0	0	帮会擂台	每个月第一个周一~第四周周五	长安擂台、洛阳擂台	帮贡、帮会发展点、帮会资金、世界唯一称号等	等级不限	<text>text="帮会个人擂台赛每个月一期，从每个月第一个星期一为第一周，整个赛程一直持续到第四周周五结束。\\\n此乃向江湖展示本帮实力的最佳场合，擂台获胜者不仅会获得强力属性称号，还会享有在各大主城门口竖立自己雕像的殊荣，同时帮会还会获得大量帮会发展点和资金奖励。\\\n未能参赛的侠士也不必心急，在人气投票与竞猜环节侠士们即可拿起手中的选票为自己支持的选手投上一票，最终支持的选手获胜与否侠士们均可获得高额帮会贡献度奖励，如果支持的选手获得冠军，侠士们的帮会贡献度奖励还有可能大幅提高！\\\n\\\n" font=162</text><text>text="查看资格确认及报名环节" font=67 link="TongActivity/2/1/0"</text><text>text="\\\n" font=67</text><text>text="查看逐鹿入围赛环节" font=67 link="TongActivity/2/2/0"</text><text>text="\\\n" font=67</text><text>text="查看逐鹿赛环节" font=67 link="TongActivity/2/2/0"</text><text>text="\\\n" font=67</text><text>text="查看争霸赛环节" font=67 link="TongActivity/2/4/0"</text><text>text="\\\n" font=67</text><text>text="查看人气投票与竞猜环节" font=67 link="TongActivity/2/5/0"</text><text>text="\\\n" font=67</text><text>text="查看循环积分赛环节" font=67 link="TongActivity/2/6/0"</text><text>text="\\\n" font=67</text><text>text="查看阵营大对决环节" font=67 link="TongActivity/2/7/0"</text>
2	1	0	资格确认及报名	每个月第三周周一07:00~第四周周一07:00	不限地点	无奖励	不限等级	<text>text="·逐鹿赛资格确认\\\n每个月第三周周一7:00，隐元会分别给浩气盟和恶人谷帮会神兵宝甲总分排名前80名的帮会帮主发送【逐鹿贴】，帮主可将其交易给想要参赛的侠士，即可参加" font=162</text><text>text="逐鹿入围赛" font=67 link="TongActivity/2/2/0"</text><text>text="。\\\n\\\n·争霸赛资格确认\\\n同时每个月第三周周一，隐元会分别给浩气盟和恶人谷帮会神兵宝甲总分排名前16名得帮会帮主发送【浩气盟争霸贴】和【恶人谷争霸贴】，帮主可将其交易给想要参赛的侠士。\\\n想要参赛的侠士获得【争霸贴】后，需要在第三周周一7:00到第四周周一7:00之间，右键使用【争霸贴】进行报名。报名后【争霸贴】消失，少侠正式进入下个月的" font=162</text><text>text="争霸赛" font=67 link="TongActivity/2/4/0"</text><text>text="选手名单。\\\n" font=162</text>
2	2	0	逐鹿入围赛	每个月第三周周一7:00~第四周周一7:00	扬州擂台（浩气盟）、长安擂台（恶人谷）	逐鹿贴	不限等级	<text>text="·参赛资格\\\n" font=162</text><text>text="查看如何获得逐鹿入围赛参赛资格" font=67 link="TongActivity/2/1/0"</text><text>text="\\\n\\\n·比赛时间\\\n每个月第三周周一7:00至第四周周一7:00为逐鹿入围赛比赛时间，在此期间内，拥有【逐鹿帖】的侠士随时可到指定地点进行报名参加。\\\n\\\n·比赛地点\\\n浩气盟参赛者可到扬州擂台，找竞票赛擂台接引人" font=162</text><text>text="卢菏泽" font=67 link="NPCGuide/134"</text><text>text="对话进行报名参赛。\\\n恶人谷参赛者可到长安擂台，找竞票赛擂台接引人" font=162</text><text>text="林荣晚" font=67 link="NPCGuide/135"</text><text>text="对话进行报名参赛。\\\n\\\n·比赛流程\\\n拥有【逐鹿贴】的侠士在比赛时间内到达相应擂台报名成功后，接引人会回收参赛者身上的一张【逐鹿帖】。单场比赛结束后，获胜的一方即可获得对方的【逐鹿帖】（通过信箱送达），若对方战成平局，则返还双方的【逐鹿帖】。\\\n\\\n·晋级资格\\\n入围赛比赛结束后，隐元会分别统计两阵营拥有【逐鹿帖】的参赛者排名，拥有数排名前32名的侠士将晋级" font=162</text><text>text="逐鹿赛" font=67 link="TongActivity/2/3/0"</text><text>text="（将于下个月的第一周周一开始举行。）。\\\n此时逐鹿赛对战名单也会进行公布，具体对战情况可在帮会擂台界面查看。\\\n注：如果拥有【逐鹿帖】数量一样，则判断最后一张【逐鹿帖】获得时间，越早获得，排名越靠前。\\\n\\\n" font=162</text><text>text="查看逐鹿赛" font=67 link="TongActivity/2/3/0"</text><text>text="\\\n" font=162</text>
2	3	0	逐鹿赛	每个月第一周周一至周四，每晚21:00~22:00	扬州擂台（浩气盟）、长安擂台（恶人谷）	人气投票赛晋级资格	不限等级	<text>text="·参赛资格\\\n在" font=162</text><text>text="逐鹿入围赛" font=67 link="TongActivity/2/2/0"</text><text>text="中脱颖而出，排名前32的侠士（浩气盟和恶人谷各32名）方可获得逐鹿赛资格。各阵营内32强对战名单随机配对，侠士们可在帮会擂台界面的赛事中查看对战名单和场次。\\\n\\\n·比赛时间\\\n每个月第一周周一至周四，晚上21:00~22:00（每个月的第一个星期一开始为擂台赛活动第一周）\\\n\\\n·比赛地点\\\n浩气盟参赛者在比赛时间内到扬州擂台，找到逐鹿赛擂台接引人" font=162</text><text>text="王露儿" font=67 link="NPCGuide/121"</text><text>text="，对话进行报名排队参赛。\\\n恶人谷参赛者在比赛时间内到长安擂台，找到逐鹿赛擂台接引人" font=162</text><text>text="马婧" font=67 link="NPCGuide/122"</text><text>text="，对话进行报名排队参赛。\\\n\\\n·比赛流程\\\n逐鹿赛采用1V1淘汰制，单场比赛时间为5分钟。\\\n开赛前30分钟，会以公告形式提示参赛者到指定擂台报名参加比赛。\\\n报名成功后，就可等待比赛。晚上21:00比赛准时开始，参加当场比赛的参赛者将会看到擂台对决确认提示框。提示框会倒计时2分钟，参赛者确认后，将会传送到擂台，若一方2分钟内没有确认或选择放弃，则另一方直接获胜，晋级下一轮。\\\n双方都传送到擂台后，将会重置所有招式和先天功的调息时间（神行除外），对决正式开始。\\\n对决时间为5分钟，5分钟内击败对方为胜利，晋级下一轮。若在限定时间内，双方未分胜负，则比赛双方均判定为落败。\\\n第一轮比赛结束2分钟后，下一轮比赛开始。\\\n\\\n·晋级资格\\\n逐鹿赛期间，浩气盟和恶人谷的比赛是在不同地点同时进行的。浩气盟和恶人谷各32名参赛者分配到4天进行比赛，每天决出一名胜者晋级" font=162</text><text>text="人气投票赛" font=67 link="TongActivity/2/5/0"</text><text>text="。\\\n因此4天的逐鹿赛一共会有4名浩气盟侠士和4名恶人谷侠士晋级到" font=162</text><text>text="人气投票赛" font=67 link="TongActivity/2/5/0"</text><text>text="。\\\n\\\n" font=162</text>
2	4	0	争霸赛	每个月第二周周一至周四，晚上21：00~22:00	扬州擂台（浩气盟）、长安擂台（恶人谷）	人气投票赛晋级资格	不限等级	<text>text="·参赛资格及报名\\\n" font=162</text><text>text="查看争霸赛比赛资格和报名方式。" font=67 link="TongActivity/2/1/0"</text><text>text="\\\n\\\n·比赛时间\\\n每个月第二周周一至周四，晚上21:00~22:00（每个月的第一个星期一开始为擂台赛活动第一周）\\\n\\\n·比赛地点\\\n浩气盟参赛者在比赛时间内到扬州擂台，找到争霸赛擂台接引人" font=162</text><text>text="余信鹏" font=67 link="NPCGuide/123"</text><text>text="，对话进行报名排队参赛。\\\n恶人谷参赛者在比赛时间内到长安擂台，找到逐鹿赛擂台接引人" font=162</text><text>text="段小影" font=67 link="NPCGuide/124"</text><text>text="，对话进行报名排队参赛。\\\n\\\n·比赛流程\\\n逐鹿赛采用1V1淘汰制，单场比赛时间为5分钟。\\\n开赛前30分钟，会以公告形式提示参赛者到指定擂台报名参加比赛。\\\n报名成功后，就可等待比赛。晚上21:00比赛准时开始，参加当场比赛的参赛者将会看到擂台对决确认提示框。提示框会倒计时2分钟，参赛者确认后，将会传送到擂台，若一方2分钟内没有确认或选择放弃，则另一方直接获胜，晋级下一轮。\\\n双方都传送到擂台后，将会重置所有招式和先天功的调息时间（神行除外），对决正式开始。\\\n对决时间为5分钟，5分钟内击败对方为胜利，晋级下一轮。若在限定时间内，双方未分胜负，则比赛双方均判定为落败。\\\n第一轮比赛结束2分钟后，下一轮比赛开始。\\\n\\\n·晋级资格\\\n争霸赛期间，浩气盟和恶人谷的比赛是在不同地点同时进行的。浩气盟和恶人谷各32名参赛者分配到4天进行比赛，每天决出一名胜者晋级人气投票赛。\\\n因此4天的争霸赛一共会有4名浩气盟侠士和4名恶人谷侠士晋级到" font=162</text><text>text="人气投票赛" font=67 link="TongActivity/2/5/0"</text><text>text="。" font=162</text>
2	5	0	人气投票与竞猜	每个月第二周周四晚22:30~第四周周一早7:00	不限地点	大量帮贡	20级以上	<text>text="·参赛资格\\\n人气投票赛的参赛者必须是：" font=162</text><text>text="逐鹿赛" font=67 link="TongActivity/2/6/0"</text><text>text="晋级的8人（浩气盟和恶人谷各4人）和" font=162</text><text>text="争霸赛" font=67 link="TongActivity/2/4/0"</text><text>text="晋级的8人（浩气盟和恶人谷各4人）。\\\n\\\n·选票来源\\\n逐鹿赛和争霸赛比赛期间，长安和扬州擂台附近的黄牛票商" font=162</text><text>text="梅碧倪" font=67 link="NPCGuide/125"</text><text>text="会限量出售非绑定的【昭义帖】。\\\n另外，每个账号每个月均会获得一次月度竞猜机会，可通过擂台界面的投票分页直接进行月度竞猜。\\\n\\\n·投票时间\\\n人气投票赛将在每个月擂台活动第二周周四晚上22:30开始，到第三周周日24:00结束。\\\n\\\n·竞猜奖励\\\n侠士使用每个账号一次的月度竞猜机会竞猜后，如果猜对冠军，则可根据投票面板上显示的奖励值获得相应帮会贡献度奖励。竞猜某个选手的人数越多则该选手获胜后提供给每位竞猜者的奖励数值越少。\\\n如果侠士竞猜的选手并未获得冠军，那么也能获得16000点帮会贡献度得奖励。\\\n注意：竞猜获得的帮会贡献度奖励不会占用帮贡周获取限额。\\\n\\\n·晋级资格\\\n投票环节结束后，得票数前4名（浩气盟、恶人谷各四名）的参赛者将晋级" font=162</text><text>text="循环积分赛" font=67 link="TongActivity/2/6/0"</text><text>text="。并会自动生成对战名单。\\\n" font=162</text>
2	6	0	循环积分赛	每个月第四周周一至周四，每晚21:00~21:30	扬州擂台	晋级决赛资格	不限等级	<text>text="·参赛资格\\\n" font=162</text><text>text="人气投票赛" font=67 link="TongActivity/2/5/0"</text><text>text="得票数最高的浩气盟4人和恶人谷4人方能进入循环积分赛。\\\n\\\n·比赛时间\\\n循环积分赛将会在擂台活动第四周周一至周四，每晚21：00~21：30举行\\\n\\\n·比赛地点\\\n两阵营参赛者在比赛时间内到扬州擂台，找到决赛接引人" font=162</text><text>text="周明蒙" font=67 link="NPCGuide/126"</text><text>text="，对话进行报名排队参赛。\\\n\\\n·比赛规则\\\n循环积分赛中，每一位参赛者均需要在4天比赛中分别轮流对战敌对阵营的4位参赛者。\\\n单场比赛赛时5分钟，一局定胜负；胜者得3分，负者得0分，打平则双方均记0分。\\\n单场比赛流程同" font=162</text><text>text="逐鹿赛" font=67 link="TongActivity/2/3/0"</text><text>text="和" font=162</text><text>text="争霸赛" font=67 link="TongActivity/2/4/0"</text><text>text="流程相同。\\\n\\\n·晋级规则\\\n4天的循环积分赛结束后，浩气盟和恶人谷积分分别排名第一的参赛者将晋级" font=162</text><text>text="阵营大对决" font=67 link="TongActivity/2/7/0"</text><text>text="环节。如果积分相同，则以循环赛中比赛总赛时排名为准。\\\n" font=162</text>
2	7	0	阵营大对决	每个月第四周周五晚上21:00	扬州擂台	帮会发展点、帮会资金、世界唯一称号等	不限等级	<text>text="·比赛资格\\\n" font=162</text><text>text="循环积分赛" font=67 link="TongActivity/2/6/0"</text><text>text="中浩气盟和恶人谷分别排名第一的参赛者方可参加决赛。\\\n\\\n·比赛时间\\\n每个月擂台活动第四周周五晚上21:00举行。（每个月第一个星期一开始为擂台活动第一周）\\\n\\\n·比赛地点\\\n两阵营参赛者在比赛时间内到扬州擂台，找到决赛接引人" font=162</text><text>text="周明蒙" font=67 link="NPCGuide/126"</text><text>text="，对话进行报名排队参赛。\\\n\\\n·比赛规则\\\n决赛也是采用1V1比赛，单场比赛时间为5分钟。\\\n决赛时间内击败对方则视为胜利，成为本期擂台擂主；若在限定时间内，双方未分出胜负，则计算循环积分赛的总积分，积分多的一方成为本期擂主；若积分也相同，则计算循环积分赛的总赛时，用时少的一方成为擂主。\\\n其它规则和" font=162</text><text>text="逐鹿赛" font=67 link="TongActivity/2/3/0"</text><text>text="与" font=162</text><text>text="争霸赛" font=67 link="TongActivity/2/4/0"</text><text>text="规则相同。\\\n\\\n·擂主诞生\\\n阵营大对决中最终胜利的一方成为本期擂台赛擂主。\\\n冠军会获得【天下无敌】称号，亚军会获得【称雄江湖】称号，该称号在攻防战期间会大幅提升玩家能力。\\\n冠亚军所在帮会帮主将收到极大提高帮会发展点和资金的奖励邮件。\\\n同时冠军将获得在城市门口竖立自己雕像的殊荣，该雕像会持续一年时间。" font=162</text>
