SkillID	Level	IconID	Show	CombatShow	Formation	FormationCaster	PracticeID	SortOrder	Name	Desc	ShortDesc	SpecialDesc
1	1	13	1	1	0	0	0	1	测试技能	测试技能		
2	0	13	1	1	0	0	0	1	欠债	测试技能		
3	0	13	1	1	0	0	0	1	还钱	测试技能		
4	0	13	1	1	0	0	0	1	金钱漫天	测试技能		
5	2	6	1	1	0	0	0	1	击倒	移动状态测试技能。		
5	3	13	1	1	0	0	0	1	测试技能	测试技能		
5	4	13	1	1	0	0	0	1	测试技能	测试技能		
5	5	13	1	1	0	0	0	1	测试技能	测试技能		
5	6	13	1	1	0	0	0	1	测试技能	测试技能		
5	2504	13	1	1	0	0	0	1	测试技能	测试技能		
6	0	7	1	1	0	0	0	1	击退倒	移动状态测试技能。		
7	0	13	1	1	0	0	0	1	攻击	测试技能		
8	0	13	1	1	0	0	0	1	火药溅伤	测试技能		
9	1	13	1	1	0	0	0	1	任脉·十宣	基础疗伤成效提高1%。		
9	2	13	1	1	0	0	0	1	任脉·十宣	基础疗伤成效提高2%。		
9	3	13	1	1	0	0	0	1	任脉·十宣	基础疗伤成效提高3%。		
9	4	13	1	1	0	0	0	1	任脉·十宣	基础疗伤成效提高4%。		
9	5	13	1	1	0	0	0	1	任脉·十宣	基础疗伤成效提高5%。		
9	6	13	1	1	0	0	0	1	任脉·十宣	基础疗伤成效提高6%。		
9	7	13	1	1	0	0	0	1	任脉·十宣	基础疗伤成效提高7%。		
9	8	13	1	1	0	0	0	1	任脉·十宣	基础疗伤成效提高8%。		
9	9	13	1	1	0	0	0	1	任脉·十宣	基础疗伤成效提高9%。		
9	10	13	1	1	0	0	0	1	任脉·十宣	基础疗伤成效提高10%。		
9	100	13	1	1	0	0	0	1	任脉·十宣	该奇穴不受洗经伐脉影响，打通后永久保留。		
10	0	1486	1	1	0	0	0	10.2	横扫千军	对周围6尺内最多4个目标造成<SKILL PhysicsDamage>点外功伤害。	外功伤害：提高到<SKILL PhysicsDamage>点	江湖上流传的群攻战法。
11	1	530	1	1	0	0	0	5.1	六合棍	威力来自于你手上的武器。		很有声势却没有什么力道的棍法。
12	1	529	1	1	0	0	0	5.2	梅花枪法	威力来自于你手上的武器。		这套枪法很难用普通的枪使出什么威力来。
